id,question_id,option_text,is_correct,media_type,media_content
1,25,"Java, API, Markup",False,,
2,25,"JavaScript, ASP, Markup",False,,
3,25,"Java, ASP, Markup",False,,
4,25,"JavaScript, API, Markup",True,,
5,26,Sir Tim Berners-Lee,False,,
6,26,Roy Fielding,False,,
7,26,Mathias Biilmann,True,,
8,26,None of the above,False,,
9,62,Progressive World App,False,,
10,62,Permanent Web App,False,,
11,62,Progressive Web App,True,,
12,62,None of the above,False,,
13,63,Simple Page App,False,,
14,63,Single Page App,True,,
15,63,Single page Asset,False,,
16,63,None of the above,False,,
17,64,5000,True,,
18,64,8000,False,,
19,64,8080,False,,
20,64,3000,False,,
21,97,,False,code,<applet code=“appletdemo.class”> </applet>
22,97,,False,code,<applet code = “appletdemo” > </applet>
23,97,Both 1 and 2,True,,
24,97,None of the above,False,,
25,98,It is used to display alternative text in case the browser does not support Java.,True,,
26,98,It is used to display alternative text in case JavaScript is disabled in the browser.,False,,
27,98,It is used to display the title for the applet.,False,,
28,98,None of the above,False,,
29,99,JavaScript can be used for DOM manipulation.,True,,
30,99,"Being a client side scripting language, it reduces the load on the server.",True,,
31,99,JavaScript cannot be used in the backend.,False,,
32,99,All of the above,False,,
33,109,DOM Manipulation,False,,
34,109,Asynchronous Processing,False,,
35,109,Event Loop,False,,
36,109,All of the above,True,,
37,110,It is a special program that can be run by a browser's java virtual machine.,True,,
38,110,It is a programming language.,False,,
39,110,Applets are written in java.,True,,
40,110,It can be embedded in HTML documents.,True,,
41,111,Mozilla Firefox,True,,
42,111,Google Chrome,False,,
43,111,Internet Explorer,False,,
44,111,Safari,False,,
45,112,JavaScript always requires a browser for its execution.,False,,
46,112,JavaScript cannot be invoked using command line.,False,,
47,112,JavaScript always requires a document context in order to be executed.,False,,
48,112,All of the above,True,,
49,113,5,False,,
50,113,undefined,False,,
51,113,,False,,
52,113,Reference Error,True,,
53,114,AJAX is an acronym for Asynchronous JavaScript and XML.,True,,
54,114,It is a technology used to send request to the server without reloading the page via JavaScript.,True,,
55,114,Only XML data can be transported using AJAX.,False,,
56,114,All of the above,False,,
57,115,undefined,True,,
58,115,,False,,
59,115,0,False,,
60,115,It will throw a syntax error.,False,,
61,116,It will throw a TypeError.,True,,
62,116,15,False,,
63,116,14,False,,
64,116,undefined,False,,
65,117,SyntaxError,False,,
66,117,Red,False,,
67,117,Yellow,True,,
68,117,Undefined,False,,
69,118,,True,code,"const sum = (x, y) => {return x+y}"
70,118,,True,code,"const sum = (x, y) => x+y"
71,118,,True,code,const sqr = x => {return x*x}
72,118,,True,code,const sqr = x => x*x
73,119,red,True,,
74,119,black,False,,
75,119,yellow,False,,
76,119,None of the above,False,,
77,120,black,False,,
78,120,yellow,True,,
79,120,green,False,,
80,120,red,False,,
81,121,UTF-8,False,,
82,121,UTF-16,True,,
83,121,UTF-32,False,,
84,121,ASCII,False,,
85,122,5,True,,
86,122,undefined,False,,
87,122,,False,,
88,122,Reference Error,False,,
89,123,==,False,,
90,123,**,False,,
91,123,===,True,,
92,123,None of the above,False,,
93,124,var,False,,
94,124,let,True,,
95,124,const,True,,
96,124,All of the above,False,,
97,125,It is a JavaScript standard.,True,,
98,125,It is a markup language.,False,,
99,125,It was designed to ensure the inter-portability of webpages across the browsers.,True,,
100,125,None of the above,False,,
101,126,const,False,,
102,126,int,True,,
103,126,while,False,,
104,126,else,False,,
105,127,,False,,
106,127,5,False,,
107,127,True,True,,
108,127,“IITM”,False,,
109,128,String,False,,
110,128,Number,False,,
111,128,LongInt,True,,
112,128,Boolean,False,,
113,129,def,True,,
114,129,let,False,,
115,129,const,False,,
116,129,yield,False,,
117,130,These are not objects.,True,,
118,130,Int is a primitive datatype.,False,,
119,130,Number is a primitive datatype.,True,,
120,130,undefined and null are primitive data types.,True,,
121,131,{},True,,
122,131,,False,,
123,131,undefined,False,,
124,131,,False,,
125,65,{},False,,
126,65,,False,,
127,65,undefined,True,,
128,65,,False,,
129,139,It will throw a syntax error.,True,,
130,139,undefined,False,,
131,139,,False,,
132,139,0,False,,
133,140,It will throw a TypeError.,False,,
134,140,15,True,,
135,140,14,False,,
136,140,undefined,False,,
137,141,red,False,,
138,141,green,True,,
139,141,undefined,False,,
140,141,SyntaxError,False,,
141,142,ReactJS,False,,
142,142,Flask,True,,
143,142,Bootstrap,False,,
144,142,VueJS,False,,
145,143,Flask,False,,
146,143,Django,False,,
147,143,VueJS,True,,
148,143,Express,False,,
149,144,It can manipulate the DOM.,True,,
150,144,JavaScript is a programming language.,True,,
151,144,It cannot manipulate the DOM.,False,,
152,144,None of the above,False,,
153,145,Asynchronous Java and XML,False,,
154,145,Asynchronous JavaScript and XML,True,,
155,145,Auto JavaScript and XML,False,,
156,145,None of the above,False,,
157,146,It is a study of algorithms that improve through the use of data.,False,,
158,146,It is a sub field of AI that extracts patterns out of raw data.,False,,
159,146,It allows computers to learn from experience without being explicitly programmed or human intervention.,False,,
160,146,It is used for tasks where programming/human labour fails.,False,,
161,146,All of these,True,,
162,147,Weather prediction,False,,
163,147,Face tagging,False,,
164,147,Password verification,True,,
165,147,Spam detection,False,,
166,147,Recommendation system,False,,
167,147,Social media marketing,False,,
168,148,Speech recognition,False,,
169,148,Image recognition,False,,
170,148,Object detection,False,,
171,148,Array sorting,True,,
172,149,We do not know the exact rules transforming the input to output.,True,,
173,149,There are clearly defined rules transforming the input to output.,False,,
174,149,We are unable to express the exact rules transforming the input to output.,True,,
175,150,The price of a house based on its area and distance from metro.,True,,
176,150,Whether or not a house is closer than 5 KMs to metro based on its price and area.,False,,
177,151,Continuous,True,,
178,151,Discrete,False,,
179,151,of any type,False,,
180,151,Categorical,False,,
181,152,Dimensionality Reduction,False,,
182,152,Classification,True,,
183,152,Density Estimation,False,,
184,152,Regression,True,,
185,153,Probabilistic Model,False,,
186,153,Predictive Model,True,,
187,154,$$f(X) = W^\top X + b$$,True,,
188,154,$$f(X) = \mathrm{Sign}(W^\top X + b)$$,False,,
189,155,True,True,,
190,155,False,False,,
191,156,Curve fitting,True,,
192,156,Data exploration,False,,
193,156,Data cleaning,False,,
194,156,Dimensionality reduction,False,,
195,157,Probabilistic Models,False,,
196,157,Predictive Models,True,,
197,158,$$\frac{1}{n} \sum_{i=1}^{n} \left( f(X^i) - Y^i \right)^2$$,False,,
198,158,$$\frac{1}{n} \sum \mathbb{1}(f(X_i) \neq Y_i)$$,True,,
199,159,Training data,False,,
200,159,Test data,True,,
201,159,Validation data,False,,
202,160,Training data,False,,
203,160,Test data,False,,
204,160,Validation data,True,,
205,161,Curve Fitting,False,,
206,161,Understanding Data,True,,
207,161,Classification,False,,
208,161,Predictive Learning,False,,
209,162,$$d < d'$$,False,,
210,162,$$d > d'$$,True,,
211,162,$$d = d'$$,False,,
212,162,Any relation holds good,False,,
213,163,$$d < d'$$,False,,
214,163,$$d > d'$$,True,,
215,163,$$d = d'$$,False,,
216,163,Any relation holds good,False,,
