id,subject_id,week_number,name
1,1,1,Activity 1
2,1,1,Activity 2
3,1,1,Activity 3
4,1,1,Activity 4
5,1,1,Activity 5
6,1,1,Activity 6
7,1,1,Graded Assignment
8,1,1,Practice Assignment
9,1,2,Graded Assignment
10,1,2,Practice Assignment
11,6,1,Activity 1
12,6,1,Activity 2
13,6,1,Activity 3
14,6,1,Activity 4
15,6,1,Activity 5
16,6,1,Activity 6
17,6,1,Activity 7
18,6,1,Graded Assignment
19,6,1,Practice Assignment
20,6,2,Graded Assignment
21,6,2,Practice Assignment
22,6,3,Practice Assignment
23,7,1,Activity 1
24,7,1,Activity 2
25,7,1,Activity 3
26,7,1,Activity 4
27,7,1,Activity 5
28,7,1,Activity 6
29,7,1,Graded Assignment
30,7,1,Practice Assignment
31,7,2,Graded Assignment
32,7,2,Practice Assignment
33,8,1,Graded Assignment
34,8,1,Practice Assignment
35,8,2,Graded Assignment
36,8,2,Practice Assignment
