id,question_id,option_text,is_correct,media_type,media_content
1,1.0,"Java, API, Markup",False,,
2,1.0,"JavaScript, ASP, Markup",False,,
3,1.0,"Java, ASP, Markup",False,,
4,1.0,"JavaScript, API, Markup",True,,
5,2.0,Sir Tim Berners-Lee,False,,
6,2.0,Roy Fielding,False,,
7,2.0,Mathias Biilmann,True,,
8,2.0,None of the above,False,,
9,3.0,Progressive World App,False,,
10,3.0,Permanent Web App,False,,
11,3.0,Progressive Web App,True,,
12,3.0,None of the above,False,,
13,4.0,Simple Page App,False,,
14,4.0,Single Page App,True,,
15,4.0,Single page Asset,False,,
16,4.0,None of the above,False,,
17,5.0,5000,True,,
18,5.0,8000,False,,
19,5.0,8080,False,,
20,5.0,3000,False,,
21,6.0,,False,code,<applet code=“appletdemo.class”> </applet>
22,6.0,,False,code,<applet code = “appletdemo” > </applet>
23,6.0,Both 1 and 2,True,,
24,6.0,None of the above,False,,
25,7.0,It is used to display alternative text in case the browser does not support Java.,True,,
26,7.0,It is used to display alternative text in case JavaScript is disabled in the browser.,False,,
27,7.0,It is used to display the title for the applet.,False,,
28,7.0,None of the above,False,,
29,8.0,JavaScript can be used for DOM manipulation.,True,,
30,8.0,"Being a client side scripting language, it reduces the load on the server.",True,,
31,8.0,JavaScript cannot be used in the backend.,False,,
32,8.0,All of the above,False,,
33,9.0,DOM Manipulation,False,,
34,9.0,Asynchronous Processing,False,,
35,9.0,Event Loop,False,,
36,9.0,All of the above,True,,
37,10.0,It is a special program that can be run by a browser's java virtual machine.,True,,
38,10.0,It is a programming language.,False,,
39,10.0,Applets are written in java.,True,,
40,10.0,It can be embedded in HTML documents.,True,,
41,11.0,Mozilla Firefox,True,,
42,11.0,Google Chrome,False,,
43,11.0,Internet Explorer,False,,
44,11.0,Safari,False,,
45,12.0,JavaScript always requires a browser for its execution.,False,,
46,12.0,JavaScript cannot be invoked using command line.,False,,
47,12.0,JavaScript always requires a document context in order to be executed.,False,,
48,12.0,All of the above,True,,
49,13.0,5,False,,
50,13.0,undefined,False,,
51,13.0,,False,,
52,13.0,Reference Error,True,,
53,14.0,AJAX is an acronym for Asynchronous JavaScript and XML.,True,,
54,14.0,It is a technology used to send request to the server without reloading the page via JavaScript.,True,,
55,14.0,Only XML data can be transported using AJAX.,False,,
56,14.0,All of the above,False,,
57,15.0,undefined,True,,
58,15.0,,False,,
59,15.0,0,False,,
60,15.0,It will throw a syntax error.,False,,
61,16.0,It will throw a TypeError.,True,,
62,16.0,15,False,,
63,16.0,14,False,,
64,16.0,undefined,False,,
65,17.0,SyntaxError,False,,
66,17.0,Red,False,,
67,17.0,Yellow,True,,
68,17.0,Undefined,False,,
69,18.0,,True,code,"const sum = (x, y) => {return x+y}"
70,18.0,,True,code,"const sum = (x, y) => x+y"
71,18.0,,True,code,const sqr = x => {return x*x}
72,18.0,,True,code,const sqr = x => x*x
73,19.0,red,True,,
74,19.0,black,False,,
75,19.0,yellow,False,,
76,19.0,None of the above,False,,
77,20.0,black,False,,
78,20.0,yellow,True,,
79,20.0,green,False,,
80,20.0,red,False,,
81,21.0,UTF-8,False,,
82,21.0,UTF-16,True,,
83,21.0,UTF-32,False,,
84,21.0,ASCII,False,,
85,22.0,5,True,,
86,22.0,undefined,False,,
87,22.0,,False,,
88,22.0,Reference Error,False,,
89,23.0,==,False,,
90,23.0,**,False,,
91,23.0,===,True,,
92,23.0,None of the above,False,,
93,24.0,var,False,,
94,24.0,let,True,,
95,24.0,const,True,,
96,24.0,All of the above,False,,
97,25.0,It is a JavaScript standard.,True,,
98,25.0,It is a markup language.,False,,
99,25.0,It was designed to ensure the inter-portability of webpages across the browsers.,True,,
100,25.0,None of the above,False,,
101,26.0,const,False,,
102,26.0,int,True,,
103,26.0,while,False,,
104,26.0,else,False,,
105,27.0,,False,,
106,27.0,5,False,,
107,27.0,True,True,,
108,27.0,“IITM”,False,,
109,28.0,String,False,,
110,28.0,Number,False,,
111,28.0,LongInt,True,,
112,28.0,Boolean,False,,
113,29.0,,True,code,def
114,29.0,let,False,,
115,29.0,const,False,,
116,29.0,yield,False,,
117,30.0,These are not objects.,True,,
118,30.0,Int is a primitive datatype.,False,,
119,30.0,Number is a primitive datatype.,True,,
120,30.0,undefined and null are primitive data types.,True,,
121,31.0,,True,code,{}
122,31.0,,False,,
