id,assessment_id,heading,media_type,media_content,q_type,correct_answer
1,1,What does JAMStack stand for?,,,mcq,
2,1,Who coined the term “JAMStack”?,,,mcq,
3,1,What does PWA stand for in the context of an app?,,,mcq,
4,1,What does SPA stand for in the context of an app?,,,mcq,
5,1,What is the default port number used by a flask application?,,,mcq,
6,2,"Which of the following is the correct way to embed an applet in an HTML document, assuming that the java byte code file “appletdemo.class” is kept in the same directory as the HTML document?",,,mcq,
7,2,Which of the following is the correct usage of “alt” attribute in the <applet> tag in an HTML document?,,,mcq,
8,2,Which of the following statements is true regarding JavaScript?,,,mcq,
9,2,Which of the following can be considered as advantage(s) of JavaScript language?,,,mcq,
10,2,Which of the following is true regarding java applet?,,,mcq,
11,2,"Which of the following web browsers, evolved from Netscape Navigator?",,,mcq,
12,3,Which of the following statements is not true regarding JavaScript?,,,mcq,
13,3,What will be the output on console if the following JavaScript program is executed using command line?,code,{    let x = 5;}console.log(x),mcq,
14,3,What is AJAX?,,,mcq,
15,3,Consider the following variable declaration. What will be printed on console for console.log(x)?,code,let x,mcq,
16,3,Consider the following code snippet. What will be the output of console.log(x)?,code,const x = 14x = 15,mcq,
17,3,"Consider the following JavaScript program, What will be the output of the statement: console.log(obj.color)?",code,"const obj = {    color: 'red',    changeColor: function (color) {        this.color = color    },}obj.changeColor('Yellow')",mcq,
18,3,Which of the following is/are correct way(s) to define a function in JavaScript?,,,mcq,
19,3,Consider the following HTML document. What will be the background color of an element having ID ‘div1’ in the rendered webpage corresponding to this document?,code,"<!DOCTYPE html><html lang=""""en""""><head>    <meta charset=""""UTF-8"""" />    <script>        document.getElementById('div1').style.backgroundColor = 'yellow';    </script>    <title>Document</title></head><body>    <div        id=""""div1""""        style=""""height: 100px; width: 100px; background-color: red""""    ></div></body></html>""",mcq,
20,3,Consider the following HTML document. What will be the background color of an element having ID ‘div’ after 6 seconds?,code,"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"" />    <title>Document</title></head><body>    <div        id=""div""        style=""background-color: black; height: 50px; width: 50px""    ></div>    <script>        const colors = {            color1: 'red',            color2: 'green',            color3: 'yellow',        }        let i = 1        let color = null        setInterval(() => {            if (i % 2 != 0) {                color = colors.color1            }            else if (i % 4 == 0) {                color = colors.color2            }            else {                color = colors.color3            }            document.getElementById('div').style.backgroundColor = color            i++        }, 1000)    </script></body></html>",mcq,
21,4,Which of the following encoding does a JavaScript engine use in general?,,,mcq,
22,4,What will be the output on console if the following JavaScript program is executed using command line?,code,{    var x = 5;}console.log(x),mcq,
23,4,Which of the following operators is used to avoid coercion in JavaScript language?,,,mcq,
24,4,Which of the following have a block-level scope in JavaScript language?,,,mcq,
25,4,What is ECMAScript?,,,mcq,
26,5,Which of the following is not a reserve word in JavaScript language?,,,mcq,
